hosp,lat
8,-21.7410705
42,-23.8232741
86,-23.5971845
124,-22.3785837
156,-23.4971439
194,-23.607451
195,-22.84698107
196,-21.2127249
197,-23.6350871
198,-23.1611237
199,-22.4107652
200,-22.8036913
202,-23.190993
204,-21.1228628
206,-23.9573681
207,-22.3288635
209,-22.7451994
210,-22.5786213
212,-23.4573537
213,-23.864518
214,-23.6434969
215,-23.2728059
